期別	收盤	漲跌	漲跌(%)	成交量(億元)	融資增減	融資餘額	融卷增減	融卷餘額	外資買賣超(億元)	投信買賣超(億元)	自營商買賣超(億元)	三大法人合計
'26/07/27	378.09	0.46	0.12	"1,636.54"	-18.1	"1,883.47"	"-6,467"	"29,972"	-11.41	4.833	-7.423	-14
'26/07/24	377.63	-14.48	-3.69	"1,857.54"	-25.9	"1,901.62"	"6,502"	"36,439"	-62.53	10.88	-1.916	-53.56
'26/07/23	392.11	-3.07	-0.78	"1,849.03"	0.5	"1,927.54"	-633	"29,937"	-52.65	5.414	-2.7	-49.93
'26/07/22	395.18	13.22	3.46	"1,860.55"	24.1	"1,927.04"	713	"30,570"	-62.58	23	4.466	-35.11
'26/07/21	381.96	13.43	3.64	"1,593.92"	21	"1,902.90"	"-1,698"	"29,857"	-98.7	-11.32	19.02	-91
'26/07/20	368.53	-9.91	-2.62	"1,862.87"	-80.1	"1,881.92"	"-2,669"	"31,555"	78.48	-8.398	-22.26	47.82
'26/07/17	378.44	-28.57	-7.02	"2,027.43"	-140	"1,962"	"2,190"	"34,224"	151.8	15.92	-38.09	129.6
'26/07/16	407.01	-9.4	-2.26	"2,053.30"	-2.85	"2,102.17"	"-2,053"	"32,034"	42.13	-39.51	-3.155	-0.536
'26/07/15	416.41	9	2.21	"2,043.35"	41.1	"2,105.22"	570	"34,088"	-65.45	17.99	-18.96	-66.42
'26/07/14	407.41	-12.49	-2.97	"2,899.47"	-61.1	"2,064.17"	"-3,554"	"33,518"	137.8	-8.703	-35.92	93.14
'26/07/13	419.9	-5.09	-1.2	"2,128.49"	1.37	"2,125.27"	155	"37,072"	-1.561	-18.46	-7.399	-27.42
'26/07/09	424.99	3.6	0.85	"2,362.80"	8.77	"2,123.90"	255	"36,917"	-21.22	17.47	4.553	0.802
'26/07/08	421.39	1.92	0.46	"2,220.45"	11.9	"2,115.13"	842	"36,662"	-42.28	0.341	-1.52	-43.46
'26/07/07	419.47	-20.33	-4.62	"2,764.72"	-42.5	"2,103.19"	"-1,012"	"35,820"	-45.52	-10.17	-47.63	-103.3
'26/07/06	439.8	-5.58	-1.25	"3,051.81"	16.8	"2,145.64"	-767	"36,832"	-110.8	-4.51	-27.44	-142.8
'26/07/03	445.38	5.87	1.34	"2,647.42"	25.5	"2,128.89"	"3,271"	"37,599"	25.53	-8.088	8.949	26.39
'26/07/02	439.51	8.28	1.92	"2,425.05"	19.2	"2,103.38"	391	"34,328"	36.94	-15.8	8.697	29.83
'26/07/01	431.23	4.26	1	"2,482.19"	13.3	"2,084.16"	481	"33,937"	15.9	-45.63	5.041	-24.69
'26/06/30	426.97	14.04	3.4	"1,885.42"	34.9	"2,070.84"	515	"33,456"	-32.8	-13.9	21.82	-24.88
'26/06/29	412.93	-2.33	-0.56	"1,759.22"	-12.6	"2,035.96"	"-1,065"	"32,941"	85.91	-37.95	2.096	50.06
'26/06/26	415.26	-24.58	-5.59	"2,618.36"	-62.6	"2,048.53"	-298	"34,006"	-71.87	-18.46	-38.38	-128.7
'26/06/25	439.84	-2.25	-0.51	"2,408.41"	10.1	"2,111.15"	"-1,366"	"34,304"	-119.2	2.731	-13.6	-130.1
'26/06/24	442.09	1.28	0.29	"2,412.62"	17.7	"2,101.06"	"-2,707"	"35,670"	-181.5	7.891	-3.641	-177.2
'26/06/23	440.81	-12.69	-2.8	"3,176.45"	-1.16	"2,083.34"	"-2,252"	"38,377"	-78.03	15.36	-1.867	-64.54
'26/06/22	453.5	6.44	1.44	"2,809.44"	29.8	"2,084.50"	-353	"40,629"	-12.08	16.79	7.951	12.67
'26/06/18	447.06	13.72	3.17	"2,684.63"	17.1	"2,054.69"	809	"40,982"	147.5	23.12	34	204.6
'26/06/17	433.34	3.08	0.72	"2,436.14"	33.3	"2,036.28"	"3,196"	"40,117"	-53.47	19.33	-7.574	-41.71
'26/06/16	430.26	0.89	0.21	"2,635.79"	11.1	"2,003"	"1,055"	"36,921"	3.333	4.192	-2.463	5.061
'26/06/15	429.37	9.65	2.3	"2,251.51"	38.3	"1,991.91"	"1,746"	"35,866"	27.62	8.819	7.036	43.48
'26/06/12	419.72	12.63	3.1	"2,291.51"	25.9	"1,953.60"	-334	"34,120"	-11.05	38.63	2.868	30.45
'26/06/11	407.09	1.18	0.29	"2,792.70"	-21.1	"1,927.71"	"-2,853"	"34,454"	123.8	-35.13	-21.38	67.27
'26/06/10	405.91	-18.8	-4.43	"3,095.41"	-79.1	"1,948.83"	775	"37,307"	29.28	-15.14	-48.48	-34.34
'26/06/09	424.71	12.14	2.94	"2,596.22"	17	"2,027.88"	"-2,153"	"36,532"	-121.1	4.515	1.115	-115.5
'26/06/08	412.57	-18.5	-4.29	"2,218.07"	-92	"2,010.89"	"2,257"	"38,685"	112.5	-29.74	-32.49	50.26
'26/06/05	431.07	-9.03	-2.05	"2,998.33"	-10.1	"2,102.86"	"-1,391"	"36,428"	-20.71	-58.04	-37.84	-116.6
'26/06/04	440.1	-6.72	-1.5	"2,782.94"	-14.5	"2,113"	810	"37,819"	-51.99	-2.732	-32.66	-87.37
